"ISBN";"Titre";"Auteur";"Editeur";"Date de publication";"Date d`entrée dans Babelio";"Statut";"Note"
"9782385610494";"Alice au pays des merveilles";"Carroll Lewis";"Oxymore";"2024-06-05";"2026-05-18 13:34:09";"Lu";"0.0"
"9782330194147";"Chien 51";"Gaudé Laurent";"Babel";"2024-09-04";"2026-03-26 10:06:24";"Lu";"4.0"
"9791035416720";"Nous nous verrons en août ";"Garcia Marquez Gabriel";"Audiolib";"2024-12-04";"2026-03-26 10:06:13";"Lu";"3.0"
"9782073100610";"Le Bruit et la Fureur";"Faulkner William";"Gallimard";"2025-11-06";"2026-03-26 10:05:55";"Lu";"3.0"
"9782266348973";"A la recherche du temps perdu, tome 6 : Albertine disparue";"Proust Marcel";"Pocket";"2025-08-14";"2025-09-24 17:36:14";"A lire";"0.0"
"9782080710970";"Fragments";"Héraclite d'Éphèse ";"Flammarion";"2002-01-20";"2025-09-24 17:32:10";"A lire";"0.0"
"9782072831157";"Regrets sur ma vieille robe de chambre";"Diderot Denis";"Gallimard";"2019-02-21";"2025-09-24 17:30:43";"Lu";"0.0"
"9782070360574";"La Religieuse";"Diderot Denis";"Gallimard";"1972-03-16";"2025-09-24 17:30:15";"A lire";"0.0"
"9782253004134";"Jacques le Fataliste";"Diderot Denis";"Librairie générale française";"1972-01-01";"2025-09-24 17:30:13";"A lire";"0.0"
"9782253059493";"Le Pendule De Foucault";"Eco Umberto";"Librairie générale française";"1992-04-01";"2025-09-24 17:29:26";"A lire";"0.0"
"9782253021971";"Les Rois maudits, tome 7 : Quand un roi perd la France";"Druon Maurice";"Le Livre de Poche";"1979-05-01";"2025-09-24 17:28:35";"A lire";"0.0"
"9782742769360";"Lignes de faille";"Huston Nancy";"Actes Sud";"2007-10-01";"2025-09-24 17:27:53";"A lire";"0.0"
"9782070368037";"L'Amérique ou Le Disparu ";"Kafka Franz";"Gallimard";"2000-02-18";"2025-09-24 17:27:40";"A lire";"0.0"
"9782070422067";"Lettre au père";"Kafka Franz";"Gallimard";"2002-01-02";"2025-09-24 17:27:38";"A lire";"0.0"
"9782070360420";"La Peste";"Camus Albert";"Gallimard";"1972-02-25";"2025-09-24 17:25:34";"Lu";"4.5"
"9782080706188";"Timée - Critias";"Platon ";"Flammarion";"1999-01-04";"2025-09-24 17:25:19";"A lire";"0.0"
"9782267047554";"Le livre de l'intranquillité";"Pessoa Fernando";"Bourgois";"2024-10-10";"2025-09-24 17:21:41";"A lire";"0.0"
