"isbn";"title"
"9782072831157";"Regrets sur ma vieille robe de chambre : et autres textes"
"9782253004134";"Jacques le fataliste"
"9782267047554";"Le livre de l'intranquillité"
"9782234057302";"Le faussaire"
"9782070446032";"Histoire secrète du sire de Musashi"
"9781038700278";"The Voice Inside"
"9782226438195";"Jung, un voyage vers soi"
"9782266182768";"Voyage d'une Parisienne à Lhassa"
"9782218931888";"Criton"
"9782070360833";"Les raisins de la colère"
"9782868699084";"Oedipe sur la route"
"9782080712257";"Quo Vadis ?"
"9782266278638";"Circé"
"9782747027168";"Les orangers de Versailles"
"9782226186089";"Percy Jackson [02] : La mer des monstres"
"9782211097666";"La société des S"
"9782203024298";"Henderson's Boys, Tome 1 (French Edition)"
"9782203043718";"L'ange gardien"
"9782203004221";"Cherub, Tome 6 (French Edition)"
"9782203024335";"La vague fantôme"
"9782203035362";"Cherub Mission 11"
"9782203004269";"Le grand jeu"
"9782203004252";"Crash"
"9782203004238";"Cherub Mission 7"
"9782203003972";"Les survivants"
"9782203003613";"Cherub"
"9782203002029";"Cherub Mission 1"
"9782330129835";"4 3 2 1"
"9782264005960";"Trafic d'or sous les T'ang"
